id,lab,casenumber,agency,agency2,collectiondate,datereceived,datecompleted,waterbody,sitename,sitedescription,gnisid,latitude,longitude,datum,watertemp,elevation,statename,county,huc,hucname,commonname,species,speciescode,itistsn,numbercollected,collectionmethod,specimen,numbertested,pathogentested,prelimassay,prelimpoolstested,prelimpoolsdetected,corrobassay,corrobpoolstested,corrobpoolsdetected,pathogendetected
2809864,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Spleen/Kidney,5,Infectious Hematopoietic Necrosis Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809865,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Spleen/Kidney,5,Infectious Pancreatic Necrosis Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809866,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Spleen/Kidney,5,Oncorhynchus Masou Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809867,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Spleen/Kidney,5,Viral Hemorrhagic Septicemia Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809868,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Spleen/Kidney,5,Infectious Salmon Anemia Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809869,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Yersinia ruckeri,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809870,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Aeromonas salmonicida,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809871,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Edwardsiella ictaluri,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809872,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Edwardsiella tarda,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809873,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Citrobacter freundii,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
